2017-08-17 23:23:04 status half-installed libc6:amd64 2.19-0ubuntu6
2017-08-17 23:23:04 status unpacked libc6:amd64 2.19-0ubuntu6
2017-08-17 23:23:04 status unpacked libc6:amd64 2.19-0ubuntu6
2017-08-17 23:23:04 install libcap2:amd64 <none> 1:2.24-0ubuntu2
2017-08-17 23:23:04 status half-installed libcap2:amd64 1:2.24-0ubuntu2
2017-08-17 23:23:04 status unpacked libcap2:amd64 1:2.24-0ubuntu2
2017-08-17 23:23:04 status unpacked libcap2:amd64 1:2.24-0ubuntu2
2017-08-17 23:23:04 install libcgmanager0:amd64 <none> 0.24-0ubuntu5
2017-08-17 23:23:04 status half-installed libcgmanager0:amd64 0.24-0ubuntu5
2017-08-17 23:23:04 status unpacked libcgmanager0:amd64 0.24-0ubuntu5
2017-08-17 23:23:04 status unpacked libcgmanager0:amd64 0.24-0ubuntu5
2017-08-17 23:23:04 install libcomerr2:amd64 <none> 1.42.9-3ubuntu1
2017-08-17 23:23:04 status half-installed libcomerr2:amd64 1.42.9-3ubuntu1
2017-08-17 23:23:04 status unpacked libcomerr2:amd64 1.42.9-3ubuntu1
2017-08-17 23:23:04 status unpacked libcomerr2:amd64 1.42.9-3ubuntu1
2017-08-17 23:23:04 install libdb5.3:amd64 <none> 5.3.28-3ubuntu3
2017-08-17 23:23:04 status half-installed libdb5.3:amd64 5.3.28-3ubuntu3
2017-08-17 23:23:04 status unpacked libdb5.3:amd64 5.3.28-3ubuntu3
2017-08-17 23:23:04 status unpacked libdb5.3:amd64 5.3.28-3ubuntu3
2017-08-17 23:23:04 install libdbus-1-3:amd64 <none> 1.6.18-0ubuntu4
2017-08-17 23:23:04 status half-installed libdbus-1-3:amd64 1.6.18-0ubuntu4
2017-08-17 23:23:04 status unpacked libdbus-1-3:amd64 1.6.18-0ubuntu4
2017-08-17 23:23:04 status unpacked libdbus-1-3:amd64 1.6.18-0ubuntu4
2017-08-17 23:23:04 install libdebconfclient0:amd64 <none> 0.187ubuntu1
2017-08-17 23:23:04 status half-installed libdebconfclient0:amd64 0.187ubuntu1
2017-08-17 23:23:04 status unpacked libdebconfclient0:amd64 0.187ubuntu1
2017-08-17 23:23:04 status unpacked libdebconfclient0:amd64 0.187ubuntu1
2017-08-17 23:23:04 install libdrm2:amd64 <none> 2.4.52-1
2017-08-17 23:23:04 status half-installed libdrm2:amd64 2.4.52-1
2017-08-17 23:23:04 status unpacked libdrm2:amd64 2.4.52-1
2017-08-17 23:23:04 status unpacked libdrm2:amd64 2.4.52-1
2017-08-17 23:23:04 install libgcc1:amd64 <none> 1:4.9-20140406-0ubuntu1
2017-08-17 23:23:04 status half-installed libgcc1:amd64 1:4.9-20140406-0ubuntu1
2017-08-17 23:23:04 status unpacked libgcc1:amd64 1:4.9-20140406-0ubuntu1
2017-08-17 23:23:04 status unpacked libgcc1:amd64 1:4.9-20140406-0ubuntu1
2017-08-17 23:23:04 install libjson-c2:amd64 <none> 0.11-3ubuntu1
2017-08-17 23:23:04 status half-installed libjson-c2:amd64 0.11-3ubuntu1
2017-08-17 23:23:04 status unpacked libjson-c2:amd64 0.11-3ubuntu1
2017-08-17 23:23:04 status unpacked libjson-c2:amd64 0.11-3ubuntu1
2017-08-17 23:23:04 install libjson0:amd64 <none> 0.11-3ubuntu1
